TSW
145
145
185
170
195
150
125
135
135
175
165
190
140
120
140
160
225
155
150
215
125
190
150
110
140
170
170
165
110
175
160
190
150
140
140
155
155
145
150
190
175
140
140
165
140
165
135
150
150
160
180
345
175
160
135
150
170
180
215
275
135
155
140
150
445
405
440
115
170
95
115
90
140
125
160
165
115
185
125
170
180
150
155
305
305
240
350
145
340
170
230
250
150
130
115
105
130
145
145
225
205
195
255
160
170
190
200
210
180
240
250
215
245
155
150
190
250
190
150
240
210
150
400
210
240
210
150
260
230
130
195
170
250
220
120
200
210
160
195
155
160
155
295
145
145
160
115
140
115
270
225
325
310
280
240
265
240
245
200
210
190
190
240
255
170
270
190
200
300
435
210
190
200
110
110
110
110
220
260
240
190
390
250
210
255
250
160
225
475
345
290
260
265
245
200
310
275
200
285
350
295
275
315
450
230
420
310
220
275
420
385
220
225
340
230
405
240
195
335
400
105
180
155
145
150
225
170
145
115
415
415
290
410
445
225
220
160
400
150
200
205
330
190
135
95
125
140
150
190
190
190
280
220
240
165
200
280
220
220
125
245
165
215
255
255
390
295
275
135
150
145
160
160
170
115
245
145
240
145
125
105
250
170
155
135
130
150
215
215
205
205
195
140
145
210
410
90
160
110
140
175
210
120
105
120
155
170
100
140
160
140
130
115
140
135
135
140
240
230
355
210
255
305
230
330
370
355
240
222
278
250
225
200
365
305
215
210
205
205
210
315
230
205
385
270
375
340
325
380
240
310
240
220
250
305
350
290
160
265
230
210
265
215
180
225
245
240
300
330
310
270
305
300
280
340
280
380
290
380
245
350
315
390
365
310
395
255
340
360
205
345
275
385
300
320
355
245
400
460
440
465
395
390
410
400
335
280
