population,lr,depth,reg,RMSE
1,0.147,10,3.1956,46.9454
1,0.0986,6,0.01,48.0129
1,0.1026,10,1.9245,48.15
1,0.1333,8,0.9844,46.4291
1,0.1873,10,4.7962,47.5583
1,0.1472,6,3.5926,46.6438
1,0.1244,10,1.0987,46.6447
1,0.1498,6,0.659,48.0628
1,0.1215,8,0.6158,48.3483
1,0.1443,10,2.2978,48.2009
1,0.08,6,0.6901,47.7709
1,0.1286,7,2.8185,48.0478
1,0.1227,7,1.6895,48.042
1,0.1179,4,1.2241,48.0501
1,0.1258,10,1.2746,47.7714
1,0.1242,6,0.01,46.6021
1,0.1327,10,2.3578,47.5724
1,0.0905,7,0.01,48.1232
1,0.1675,4,1.6754,48.106
1,0.1109,7,0.01,48.0574
1,0.0888,7,1.4281,48.156
1,0.1008,5,0.01,47.7475
1,0.101,7,0.2896,46.1773
1,0.132,5,1.4841,48.1309
1,0.1409,6,0.01,48.0644
1,0.1214,4,1.2464,47.5656
1,0.1403,10,2.3537,47.6937
1,0.1739,10,5.0,47.1686
1,0.1658,6,0.9909,48.2715
1,0.1331,10,3.2237,47.8213
2,0.1083,8,0.6113,47.5557
2,0.1051,6,0.01,47.8738
2,0.1157,6,0.5269,47.7952
2,0.1455,10,0.8691,47.6093
2,0.1242,8,1.7048,47.8303
2,0.1152,4,1.0229,47.6876
2,0.1172,7,0.9966,47.3772
2,0.1484,10,2.8862,47.5473
2,0.1242,10,2.6093,47.6959
2,0.1715,10,4.859,46.8399
2,0.1074,7,1.0011,47.5441
2,0.1309,6,0.8055,47.289
2,0.1015,10,1.901,46.8822
2,0.144,10,2.864,47.3253
2,0.1333,10,1.1684,47.7507
2,0.0732,4,0.01,47.6008
2,0.14,10,3.308,47.7659
2,0.1231,10,3.1955,47.4598
2,0.1556,6,1.2313,47.324
2,0.1368,5,0.6455,47.3843
2,0.1355,6,0.7815,47.5485
2,0.1043,10,1.3486,47.6849
2,0.1233,10,0.8502,47.5567
2,0.1769,10,5.0,47.744
2,0.1059,10,1.1702,47.3051
2,0.1858,10,3.7526,47.4585
2,0.1087,10,1.6966,47.9246
2,0.1377,6,1.6739,47.759
2,0.0756,4,0.2519,47.5628
2,0.0948,10,0.6406,47.747
2,0.1788,10,1.2178,47.6903
2,0.1185,8,3.6071,47.6633
2,0.0768,7,0.7647,47.8302
2,0.1319,10,2.5894,47.4075
2,0.1606,10,4.0399,47.5249
2,0.0824,6,0.7815,47.6752
2,0.1321,10,1.7292,47.7854
2,0.1242,8,3.0595,47.7353
2,0.0792,6,0.5845,47.4138
2,0.1065,5,0.8545,47.9017
2,0.1371,10,2.14,46.7567
2,0.1659,10,4.6648,47.7524
2,0.0895,7,0.4334,47.7745
2,0.174,10,5.0,47.0496
2,0.1634,9,0.7157,47.537
2,0.1318,10,1.9338,47.9304
2,0.1265,8,0.6721,47.5926
2,0.1241,6,0.01,46.6029
2,0.1472,10,2.7369,47.8182
2,0.0945,10,0.4428,47.8828
2,0.157,10,3.9042,47.6506
2,0.1155,7,0.01,47.7561
2,0.1173,10,2.9048,47.8917
2,0.1264,4,0.01,47.2748
2,0.148,10,2.3535,47.9247
2,0.1337,10,2.4624,47.0287
2,0.0954,7,1.183,47.5787
