population,lr,depth,reg,RMSE
1,0.1274,10,1.8095,47.0512
1,0.1089,8,1.4269,48.1179
1,0.1318,7,4.9403,48.3651
1,0.1543,8,3.4699,47.7762
1,0.1198,7,0.8128,48.3203
1,0.1159,10,1.2425,47.0265
1,0.1286,10,3.658,48.1183
1,0.141,10,3.6006,47.6028
1,0.1131,6,1.3089,48.2196
1,0.1491,10,3.5933,47.2396
1,0.1467,6,3.6669,47.3875
1,0.0993,7,0.2965,48.0748
1,0.1569,6,4.7105,48.3396
1,0.1126,8,0.7991,47.2156
1,0.1377,10,2.6319,48.0958
1,0.1287,8,1.2403,48.0067
1,0.1306,8,3.6913,48.2174
1,0.1235,8,2.9661,48.1607
1,0.1347,7,4.385,48.3118
1,0.1247,10,2.9674,48.3528
1,0.114,6,1.42,47.1505
1,0.1328,10,3.9071,48.3138
1,0.1409,10,2.1489,47.5804
1,0.1594,10,3.8327,46.9383
1,0.0989,10,0.7856,48.3105
1,0.1068,10,1.0981,48.338
1,0.1531,10,4.3214,48.1824
1,0.1337,7,3.0427,48.221
1,0.1222,10,2.6642,47.5487
1,0.1119,8,0.2795,47.6692
2,0.1172,10,1.6762,47.8674
2,0.1256,10,2.5185,47.4181
2,0.1387,10,1.9764,46.9035
2,0.1468,10,2.9157,46.9666
2,0.1465,10,3.0945,47.4115
2,0.1337,6,0.7376,46.6406
2,0.122,8,0.5424,47.9286
2,0.124,10,1.1138,47.5234
2,0.1377,10,3.2199,47.8168
2,0.1143,10,1.4782,47.7762
2,0.1417,10,2.2872,47.7368
2,0.0985,10,1.0255,47.7941
2,0.1207,8,1.3526,47.9379
2,0.1158,8,2.4781,47.7091
2,0.1013,8,0.484,47.694
2,0.1208,10,2.0014,47.5329
2,0.1234,10,2.4262,47.5825
2,0.1083,7,1.0016,47.0437
2,0.1332,10,2.5169,46.9049
2,0.1334,10,3.3889,47.7959
2,0.1318,10,1.0478,47.6086
2,0.1103,10,0.9452,47.4753
2,0.1128,10,1.2276,46.8119
2,0.1469,10,3.2603,47.7278
2,0.1295,10,3.2511,47.5525
2,0.126,10,2.3479,47.9235
2,0.1494,10,2.6098,46.9467
2,0.1295,10,1.8001,47.6139
2,0.1289,10,1.5399,47.5691
2,0.1426,10,2.3965,47.1738
2,0.1163,7,0.8874,47.3746
2,0.134,10,3.3421,47.8918
2,0.1412,10,2.372,47.9017
2,0.1474,10,3.7521,47.6875
2,0.124,10,2.748,47.8515
2,0.106,7,1.4604,47.4653
2,0.1197,8,1.5111,47.6747
2,0.1198,8,1.6513,47.9222
2,0.1202,10,0.7044,47.5973
2,0.1112,10,1.1149,47.0839
2,0.1188,10,2.1517,47.213
2,0.1335,10,3.1327,47.9269
2,0.1066,10,1.9012,47.5403
2,0.0866,8,0.2139,47.6012
2,0.1409,10,3.2703,47.8491
2,0.1255,8,1.3826,47.4699
2,0.1023,10,1.6996,47.3834
2,0.1181,10,1.0541,47.0719
2,0.1318,10,2.6748,47.4657
2,0.1652,10,4.8379,46.8836
2,0.1167,10,1.3269,46.758
2,0.1015,10,1.6445,47.2648
2,0.1416,10,1.8749,47.3832
2,0.1037,8,0.8128,47.5651
2,0.1531,10,3.9743,47.841
2,0.1089,10,1.46,47.309
2,0.1359,10,3.7911,47.8554
2,0.1152,10,2.1751,47.7952
2,0.1131,10,2.5031,47.2338
2,0.1299,10,1.6445,46.8939
2,0.1124,10,1.9874,47.8209
2,0.1273,10,1.7325,47.334
2,0.1265,10,1.7043,47.6176
2,0.1224,10,2.8592,47.7951
2,0.11,6,1.9584,47.7411
2,0.0992,8,0.9423,47.2206
2,0.1076,8,0.6004,47.7308
2,0.1067,10,1.2403,46.7085
2,0.1132,10,2.1047,47.6405
2,0.162,10,3.8579,47.6157
2,0.1216,8,1.6372,47.3437
2,0.1119,10,1.6796,46.5292
2,0.1007,10,1.5613,47.6288
2,0.1353,10,0.9692,46.6442
2,0.0718,8,0.7575,47.3414
2,0.1302,10,3.0939,47.4965
2,0.1216,10,2.6348,47.8367
2,0.1135,10,1.3026,47.3953
2,0.1354,10,2.7106,47.6968
2,0.1342,10,3.0253,47.8953
2,0.1084,10,1.1986,46.8106
2,0.0989,10,1.677,47.9366
2,0.1068,10,1.1364,47.5945
2,0.093,8,0.943,47.9073
2,0.1264,10,2.9747,47.6251
2,0.1009,10,2.0442,47.5325
2,0.1323,10,3.204,47.6746
2,0.1314,10,2.4486,47.8955
2,0.1286,10,3.2251,47.5719
2,0.1414,10,2.8919,47.5392
2,0.1336,10,3.6837,47.7437
2,0.0903,10,1.7589,47.818
2,0.1036,10,2.2453,47.8118
2,0.1194,10,2.642,47.7747
2,0.1422,10,2.1689,46.9689
2,0.1009,10,1.5874,47.3951
2,0.1432,10,3.3922,47.5145
2,0.0993,10,1.9552,47.8671
2,0.1867,10,2.2886,47.3205
2,0.083,7,0.01,47.4002
3,0.1324,10,2.4768,47.1764
3,0.1628,10,3.6993,47.3249
3,0.1158,8,0.6367,47.4524
3,0.1148,10,1.5239,47.2391
3,0.1269,10,3.0153,47.3533
3,0.1427,10,3.4461,47.3271
3,0.1317,10,1.4901,47.0987
3,0.1158,10,1.3341,46.2214
3,0.1155,10,1.3152,46.2901
3,0.1167,10,1.869,46.8583
3,0.1101,10,1.8071,47.2828
3,0.1103,10,1.4356,47.3075
3,0.1035,10,2.1304,47.0972
3,0.1173,10,1.3901,46.082
3,0.1098,10,1.1138,47.1165
3,0.1073,10,1.4076,47.0483
3,0.1362,10,2.1763,47.4481
3,0.1107,10,2.124,47.4116
3,0.1077,7,1.1375,47.4331
3,0.0936,10,0.8699,46.769
3,0.134,10,1.1391,46.9948
3,0.1413,10,3.3741,47.3556
3,0.1171,10,2.1336,47.0643
3,0.1073,10,1.5854,46.7224
3,0.1162,10,1.3829,46.2862
3,0.1222,10,1.4251,47.3084
3,0.1098,10,1.7355,47.3855
3,0.1162,10,1.4377,46.6679
3,0.1292,10,3.479,47.3805
3,0.1035,10,1.7365,46.6729
3,0.1153,10,1.3006,46.6588
3,0.1214,10,2.5955,47.1263
3,0.13,10,0.8418,47.3604
3,0.1157,10,1.8825,47.4278
3,0.1491,10,3.4053,47.4355
3,0.1288,10,1.8394,46.4438
3,0.1446,10,2.4473,47.4138
