population,epsilon,lr,depth,reg,RMSE
1,48.427,0.1019,8,0.2738,47.3034
1,48.427,0.1541,8,0.2872,47.9551
1,48.427,0.1188,10,1.7273,48.1009
1,48.427,0.0757,11,0.676,48.0414
1,48.427,0.1077,8,0.0,47.8798
1,48.427,0.1081,10,1.2721,48.1563
1,48.427,0.0805,8,0.915,48.3845
1,48.427,0.1411,11,0.8717,47.9282
1,48.427,0.134,8,0.9734,47.1606
1,48.427,0.0836,4,0.4301,48.3053
1,48.427,0.134,6,2.5945,48.0047
1,48.427,0.0974,8,0.0,47.851
1,48.427,0.0745,8,1.0358,47.9925
1,48.427,0.0776,10,1.4039,48.3317
1,48.427,0.0811,8,0.2005,47.7212
1,48.427,0.1153,10,0.8706,48.288
1,48.427,0.1577,10,4.2829,48.1896
1,48.427,0.0749,8,1.1599,47.6652
1,48.427,0.132,11,1.9464,48.3265
1,48.427,0.1089,11,0.0,47.979
1,48.427,0.143,6,0.0,48.4174
1,48.427,0.1031,10,0.4109,46.9841
1,48.427,0.1239,6,1.5816,48.2444
1,48.427,0.1282,6,0.6689,48.0495
1,48.427,0.1038,8,0.1442,47.5533
1,48.427,0.1514,10,2.093,48.2997
1,48.427,0.0677,10,0.0,48.329
1,48.427,0.1172,6,0.5292,48.1651
1,48.427,0.1476,11,0.266,47.968
1,48.427,0.1227,7,0.1608,48.218
1,48.427,0.0806,10,0.0,48.0769
1,48.427,0.1256,8,1.7439,47.4158
1,48.427,0.1332,6,2.0014,48.1547
1,48.427,0.1084,8,0.482,48.091
1,48.427,0.1294,7,3.8542,47.8899
1,48.427,0.1124,10,2.4269,47.0989
1,48.427,0.1028,5,0.9061,48.3843
1,48.427,0.1181,7,0.8746,47.0056
1,48.427,0.1017,10,2.3439,47.5574
1,48.427,0.096,10,1.0522,47.5197
1,48.427,0.1239,7,0.4309,47.9673
1,48.427,0.0886,10,1.8821,48.3005
1,48.427,0.1438,5,0.4108,47.5699
1,48.427,0.1282,6,0.4728,48.3961
1,48.427,0.142,7,1.5181,48.4109
1,48.427,0.1033,10,0.8798,46.8986
1,48.427,0.1532,11,2.7405,48.2563
1,48.427,0.0686,5,0.0,48.1827
1,48.427,0.1026,6,0.0,48.1018
1,48.427,0.0883,5,1.1865,48.3175
1,48.427,0.1299,10,1.9879,48.2627
1,48.427,0.0829,6,0.5068,46.8862
1,48.427,0.1434,11,0.0,47.4421
1,48.427,0.1179,8,2.1175,48.0309
1,48.427,0.0938,5,0.1965,48.0783
1,48.427,0.0647,8,0.0,48.4075
1,48.427,0.0952,6,0.8313,48.0367
1,48.427,0.0627,8,0.0,48.2078
1,48.427,0.0867,10,0.0,47.4999
1,48.427,0.1456,8,0.0,48.0083
1,48.427,0.1158,8,4.1488,48.4094
1,48.427,0.0879,8,0.1288,47.4099
1,48.427,0.1061,6,0.9598,48.3033
1,48.427,0.1476,11,2.4846,48.3385
1,48.427,0.1166,8,2.6441,47.9238
1,48.427,0.1365,10,4.7116,47.5267
1,48.427,0.1409,6,3.0625,48.3971
1,48.427,0.1482,7,0.0,47.831
1,48.427,0.1336,10,1.7892,48.0429
1,48.427,0.1092,10,2.1569,47.2951
1,48.427,0.1332,10,3.2556,47.406
1,48.427,0.1365,5,1.2402,48.3462
1,48.427,0.1068,11,3.2076,48.2591
1,48.427,0.1078,10,2.0317,48.3954
1,48.427,0.0988,5,1.5201,48.1162
1,48.427,0.1303,10,5.2714,48.1778
1,48.427,0.1281,10,3.3975,47.6833
1,48.427,0.0979,8,1.1584,48.0954
2,47.942,0.0993,10,0.8017,47.0157
2,47.942,0.0979,8,0.9192,46.5386
2,47.942,0.142,6,0.0,47.9219
2,47.942,0.136,10,3.7191,47.9415
2,47.942,0.0812,6,0.7578,47.9355
2,47.942,0.0589,7,0.0,47.378
2,47.942,0.1304,6,0.9598,46.5832
2,47.942,0.0807,8,0.2632,47.563
2,47.942,0.147,8,0.9628,46.2419
2,47.942,0.135,6,0.8462,47.8037
2,47.942,0.1502,4,1.687,47.5945
2,47.942,0.1218,5,1.1199,47.6767
2,47.942,0.1489,10,2.399,47.8833
2,47.942,0.1507,7,0.0,47.7299
2,47.942,0.1528,6,0.8248,47.8847
2,47.942,0.0942,9,0.8717,47.9145
2,47.942,0.0985,11,1.0024,46.8775
2,47.942,0.0652,8,0.8329,47.9121
2,47.942,0.1047,5,0.8439,47.7912
2,47.942,0.1021,10,0.8972,47.3989
2,47.942,0.1272,11,0.2736,46.9769
2,47.942,0.14,10,3.0829,47.4884
2,47.942,0.0891,10,0.5625,46.9045
2,47.942,0.1234,7,0.4,47.713
2,47.942,0.134,6,0.8579,46.9307
2,47.942,0.0953,8,0.0,47.4121
2,47.942,0.1186,7,1.0492,47.2123
2,47.942,0.1505,11,1.2482,47.4552
2,47.942,0.1356,11,1.246,47.9402
2,47.942,0.1457,8,2.7057,47.7481
2,47.942,0.1046,8,0.417,47.3153
2,47.942,0.114,7,0.6544,47.7978
2,47.942,0.1098,11,0.8293,46.6339
2,47.942,0.1052,8,1.2208,47.1865
2,47.942,0.1256,6,0.5025,47.1789
2,47.942,0.0832,6,0.5813,47.2491
2,47.942,0.1212,6,1.39,47.8175
2,47.942,0.1059,11,0.1292,47.6799
2,47.942,0.134,11,1.055,47.7864
2,47.942,0.1381,10,3.716,47.0336
2,47.942,0.1011,10,2.238,47.9373
2,47.942,0.0838,10,0.0,47.9301
2,47.942,0.1059,6,0.3085,47.8713
2,47.942,0.1168,7,0.0,47.5453
2,47.942,0.1018,8,0.9097,47.8031
2,47.942,0.1455,6,0.2745,47.901
2,47.942,0.0888,8,0.5032,47.8144
2,47.942,0.117,11,0.6576,47.1783
2,47.942,0.1837,11,3.4414,47.4208
2,47.942,0.0871,7,0.0,47.8379
2,47.942,0.0871,7,0.0,47.8374
2,47.942,0.1305,10,1.4545,46.7638
2,47.942,0.1742,10,3.1131,47.3165
2,47.942,0.1123,10,0.8706,47.4556
2,47.942,0.1136,7,0.0,47.8326
2,47.942,0.1502,11,2.3377,47.806
2,47.942,0.1098,10,0.6858,47.8434
2,47.942,0.1275,10,3.6501,46.61
2,47.942,0.1219,11,1.3924,46.691
2,47.942,0.1468,10,0.6581,47.493
2,47.942,0.0704,7,0.7089,47.4806
2,47.942,0.1332,10,3.2556,47.406
2,47.942,0.137,11,1.3944,47.4946
2,47.942,0.0748,8,0.0,47.7727
2,47.942,0.1037,8,0.7322,47.5881
2,47.942,0.1238,10,2.4657,47.5083
2,47.942,0.0825,11,0.6858,47.661
2,47.942,0.0975,8,0.0,47.6857
2,47.942,0.1355,11,1.1677,46.6938
2,47.942,0.0937,6,0.7195,47.593
2,47.942,0.085,10,0.0,47.8429
2,47.942,0.1099,10,2.1016,47.3201
2,47.942,0.0702,7,0.4881,47.74
2,47.942,0.1089,11,0.676,47.2303
2,47.942,0.0942,10,0.4748,47.8024
2,47.942,0.118,11,0.6608,47.6337
2,47.942,0.1702,6,1.1212,47.8163
2,47.942,0.1126,6,0.4552,47.7669
2,47.942,0.083,6,0.9043,47.7575
2,47.942,0.1274,10,0.9185,47.1501
2,47.942,0.1056,6,0.7115,47.7415
2,47.942,0.1319,6,0.8615,47.0079
2,47.942,0.0943,8,0.0,47.3114
2,47.942,0.0927,10,0.289,47.4935
2,47.942,0.087,8,0.7288,47.6867
2,47.942,0.0756,4,0.0,47.5778
2,47.942,0.0926,6,0.6305,47.7258
2,47.942,0.098,6,0.456,47.7364
2,47.942,0.0866,11,1.1539,47.8097
2,47.942,0.1053,6,0.2819,47.8622
2,47.942,0.0737,8,0.0,47.6533
2,47.942,0.1438,11,0.0,47.6557
2,47.942,0.096,10,0.6252,47.8675
2,47.942,0.1078,8,0.1066,47.3489
2,47.942,0.0876,6,0.8162,46.8551
2,47.942,0.139,5,0.5292,47.6843
2,47.942,0.0892,6,0.9137,46.7207
2,47.942,0.0909,7,0.452,47.5729
2,47.942,0.1209,11,0.0,47.7346
2,47.942,0.1383,10,2.9194,47.4337
3,47.458,0.1346,10,1.1736,47.0639
3,47.458,0.0887,10,0.2977,47.3954
3,47.458,0.1573,8,1.3893,47.4465
3,47.458,0.1552,10,3.5276,46.4772
3,47.458,0.1272,6,0.6081,47.3784
3,47.458,0.1089,6,1.0989,47.3398
3,47.458,0.0871,8,0.324,47.4232
3,47.458,0.1142,11,0.3361,46.6107
3,47.458,0.1298,6,0.669,47.0602
3,47.458,0.1429,8,0.4735,47.066
3,47.458,0.1134,10,1.1307,46.5625
3,47.458,0.145,10,1.0184,46.9633
3,47.458,0.1225,6,0.7089,47.3464
3,47.458,0.1219,10,0.9877,47.4243
3,47.458,0.1152,10,2.275,47.4536
3,47.458,0.1269,11,0.0,45.5833
3,47.458,0.1137,6,0.4052,47.3623
3,47.458,0.1073,10,1.4207,46.9614
3,47.458,0.1588,10,3.6501,47.3984
3,47.458,0.0694,11,0.0,47.2767
3,47.458,0.1299,6,0.9539,46.8022
3,47.458,0.1457,6,3.3693,47.1766
3,47.458,0.1625,11,1.8982,47.19
3,47.458,0.1031,8,0.7675,47.3302
3,47.458,0.1212,11,1.5297,47.232
3,47.458,0.1194,11,1.2632,46.6006
3,47.458,0.1276,8,0.289,47.4431
3,47.458,0.0776,8,0.7788,47.0461
3,47.458,0.1505,11,0.8109,47.3059
3,47.458,0.0939,10,0.4686,47.4407
3,47.458,0.0782,8,0.0,47.4147
3,47.458,0.1234,7,1.3585,47.2918
3,47.458,0.0938,8,0.6773,47.2511
3,47.458,0.1172,8,0.4979,47.2727
3,47.458,0.1156,7,0.8959,46.3019
3,47.458,0.1206,6,0.928,47.2916
3,47.458,0.0905,6,0.8576,46.421
3,47.458,0.1127,11,0.8301,47.184
3,47.458,0.1306,10,1.1019,47.0159
3,47.458,0.1077,6,1.0255,47.2947
3,47.458,0.1031,10,1.0018,47.2046
3,47.458,0.1265,4,0.0,47.3594
3,47.458,0.1235,8,0.8936,47.0573
3,47.458,0.1697,10,5.1904,47.3058
