population,lr,depth,reg,RMSE
1,0.1296,10,2.1839,47.8716
1,0.0916,8,0.8283,47.1035
1,0.0782,7,0.01,47.8046
1,0.0864,10,0.01,48.3129
1,0.1201,7,1.0189,47.2574
1,0.109,10,0.8582,47.0395
1,0.1525,10,4.9377,47.947
1,0.1001,10,2.1332,48.0539
1,0.08,10,0.01,47.9518
1,0.0994,10,1.5065,46.7399
1,0.1269,10,2.3218,48.4129
1,0.104,10,2.023,48.0267
1,0.1167,10,1.9301,47.9259
1,0.0929,7,1.4588,48.2523
1,0.1281,8,3.2302,48.3532
1,0.1345,10,0.9613,46.5441
1,0.115,10,2.0993,48.3583
1,0.1124,7,0.3868,47.2941
1,0.1252,8,2.3211,47.8652
1,0.1182,10,2.6769,48.2817
1,0.135,8,3.1098,48.4219
1,0.1306,8,0.542,47.6847
1,0.0982,8,0.7143,47.3252
1,0.0999,8,1.4216,48.1471
1,0.1079,8,2.0601,48.0023
1,0.1113,8,0.0907,47.489
1,0.1306,8,2.0464,47.1553
1,0.0947,10,0.3605,47.8613
1,0.1112,7,0.01,47.9765
1,0.09,10,1.3599,48.2153
2,0.1009,8,1.0416,47.1728
2,0.1429,10,2.7093,47.1736
2,0.1253,10,1.6403,47.023
2,0.1134,7,1.4479,47.2635
2,0.1169,10,1.4653,47.942
2,0.1104,10,1.4744,47.8047
2,0.113,10,2.3322,47.581
2,0.1296,10,1.9808,47.5435
2,0.0956,10,0.9461,47.6136
2,0.115,6,1.4911,47.5139
2,0.0992,10,1.2322,47.029
2,0.116,10,2.3405,47.7846
2,0.1143,10,1.1855,47.256
2,0.1151,10,1.4065,47.4501
2,0.1333,10,2.3107,47.5284
2,0.1191,10,1.7576,47.729
2,0.1004,10,0.7038,47.9339
2,0.1096,10,1.0404,47.9247
2,0.1074,10,1.9228,47.879
2,0.1386,10,2.5009,47.7876
2,0.1322,10,3.3342,47.8664
2,0.0918,8,0.7868,47.808
2,0.1322,10,0.8582,47.3479
2,0.1426,10,2.1333,47.6445
2,0.1263,10,1.6753,47.8307
2,0.1184,10,1.4458,47.686
2,0.1026,10,2.2269,47.5197
2,0.1158,10,1.1518,47.1957
2,0.1084,6,1.1409,47.7175
2,0.1077,10,0.8407,47.8871
2,0.1433,10,2.8278,47.1263
2,0.0994,10,0.7175,47.9257
2,0.1081,8,1.169,47.8691
2,0.1121,10,1.3692,46.5519
2,0.1042,10,0.4593,47.5751
2,0.1232,10,2.6769,47.9128
2,0.1134,10,1.3013,47.8687
2,0.0983,10,1.0803,46.7346
2,0.1077,10,2.4428,47.387
2,0.104,8,0.5092,47.6303
2,0.1279,10,1.6587,47.8784
2,0.112,10,2.409,47.3943
2,0.094,10,0.9563,47.435
2,0.1037,10,2.3583,47.5203
2,0.1197,8,0.1418,47.8955
2,0.1419,10,1.924,47.8002
2,0.1053,10,1.2338,46.9732
2,0.1389,10,2.0209,46.6508
2,0.1126,10,1.1779,47.3387
2,0.1365,10,1.5606,47.7782
2,0.1244,10,1.1173,47.4184
2,0.1183,10,1.4412,47.6871
2,0.1091,10,1.3873,46.6706
2,0.1287,10,1.3348,47.243
2,0.1272,10,3.592,47.2373
2,0.0743,8,0.01,47.7065
2,0.1253,10,0.8305,47.4845
2,0.0774,8,0.01,47.7357
2,0.1,10,1.9066,47.9393
2,0.1108,10,1.9212,47.5273
2,0.1319,10,2.5773,47.1541
2,0.1193,8,1.3422,47.2868
2,0.1538,10,3.3661,47.442
2,0.1039,10,2.074,47.9201
2,0.0982,10,0.01,47.8367
2,0.0998,10,0.7901,47.615
2,0.1259,10,2.3751,47.9317
2,0.1161,10,1.8833,47.9231
2,0.13,10,2.1093,47.8015
2,0.1348,10,1.4674,47.4409
2,0.1428,10,2.3858,47.5343
2,0.1241,8,1.0673,47.5392
2,0.1435,10,2.8248,47.5157
2,0.0959,10,0.7209,47.1059
2,0.1079,8,1.2602,47.6266
2,0.1276,10,2.5148,47.3375
2,0.0961,10,0.6317,47.8672
2,0.1103,10,1.128,47.5275
2,0.0952,10,0.8005,47.3628
2,0.1304,10,1.8958,47.6328
2,0.1452,6,3.4066,47.8502
2,0.1118,10,1.1035,47.9212
2,0.1188,7,1.0873,47.8733
2,0.1269,8,1.4462,46.9461
2,0.1105,10,1.425,47.7678
2,0.13,10,0.7052,47.6364
2,0.1201,10,2.5262,47.9069
2,0.0878,10,1.607,47.8137
2,0.0975,10,1.6352,47.4782
2,0.1057,10,1.1022,47.9124
2,0.0952,10,0.6842,47.7523
2,0.1143,10,1.4026,46.437
2,0.119,10,2.6769,47.622
2,0.1221,10,0.8449,47.1547
2,0.1188,10,0.8075,47.2285
2,0.1103,10,1.6394,47.5868
2,0.1286,10,3.1714,47.7658
2,0.135,10,2.2773,47.6394
2,0.1402,10,2.1986,46.9455
2,0.1117,10,1.8773,47.9194
3,0.1246,8,1.4205,46.6217
3,0.1079,10,0.5885,46.8623
3,0.1076,10,1.3548,47.4279
3,0.0983,10,0.9405,47.033
3,0.1082,10,1.5504,47.1394
3,0.114,10,1.6466,47.1558
3,0.1167,10,1.0338,47.4033
3,0.1106,10,1.7425,47.352
3,0.1033,10,2.1057,47.0986
3,0.115,10,1.2741,46.3004
3,0.1104,10,1.1671,46.9262
3,0.1116,10,1.6756,46.5411
3,0.1017,10,1.5989,47.1544
3,0.1227,8,1.5647,46.9557
3,0.1116,10,0.6392,47.41
3,0.1089,10,1.0929,46.8691
3,0.1268,10,1.3158,47.118
3,0.1443,10,2.3368,46.4699
3,0.1372,10,2.1066,46.7472
3,0.1312,10,2.5203,47.4245
3,0.1102,10,2.0878,47.3209
3,0.1377,10,1.4412,47.3096
3,0.1076,10,1.4757,47.4088
3,0.1059,10,0.5069,47.1895
3,0.1076,10,1.0235,47.239
3,0.112,10,1.28,47.3984
3,0.1127,10,1.1929,47.1897
3,0.1322,10,3.1681,47.4145
3,0.0965,10,0.7573,47.0766
3,0.1197,10,1.4302,47.4431
3,0.104,10,1.1859,46.8718
3,0.1306,10,1.4708,47.1683
3,0.1072,10,1.399,47.047
3,0.1273,10,1.725,47.3863
3,0.1004,10,1.8373,47.1721
3,0.1138,10,1.3935,46.7053
3,0.1016,10,1.2675,47.4253
3,0.0891,10,0.5662,46.7039
3,0.1078,10,1.4579,47.2725
3,0.1038,10,1.1737,46.7527
3,0.1297,10,2.172,47.3254
3,0.1081,10,1.4398,47.0543
3,0.1482,10,2.6103,47.4578
3,0.0973,10,1.1705,47.3944
3,0.1048,10,1.2143,46.7934
3,0.1206,10,2.7828,47.4547
3,0.0976,10,0.7776,47.0839
3,0.1162,10,1.4223,46.9248
3,0.1105,10,0.8786,46.8545
3,0.1137,10,1.0152,47.2205
3,0.1314,10,2.5723,47.3176
3,0.1172,10,1.3188,46.8774
3,0.1091,10,2.1521,47.2963
3,0.1076,8,0.6259,47.3847
3,0.1319,10,2.5773,47.1541
3,0.0985,10,1.0866,46.9946
3,0.115,10,1.4229,47.4334
3,0.139,10,1.4546,47.4508
3,0.107,10,1.539,46.3544
3,0.107,10,1.3898,47.2077
3,0.1339,10,1.4044,47.3141
3,0.1069,10,1.2587,46.8638
3,0.1274,10,1.8929,46.4847
3,0.0987,10,0.8479,47.4435
3,0.1082,10,1.3871,47.1316
3,0.1193,10,1.0579,46.8749
3,0.1188,10,2.1036,46.8431
3,0.12,10,1.962,47.1341
3,0.129,10,2.0939,47.1136
3,0.0932,10,0.6166,47.3194
3,0.1108,10,2.2577,46.8129
3,0.11,10,2.0552,47.0231
3,0.1284,10,1.4073,47.2695
3,0.1125,10,1.4026,46.757
3,0.1355,10,2.0816,47.2212
3,0.1068,10,1.2667,47.4344
3,0.1096,10,1.7653,47.2083
3,0.1373,10,1.8646,47.3151
3,0.1128,10,1.2603,47.0275
3,0.1129,10,1.2689,46.9458
3,0.126,10,2.4804,46.9924
3,0.1053,10,1.2389,46.6637
3,0.1311,10,2.1262,47.4245
3,0.1298,10,2.1549,47.3695
3,0.1443,10,2.7093,47.4302
3,0.1438,10,2.8485,47.2924
3,0.1194,10,1.4503,47.4143
3,0.1096,10,1.1112,47.2523
3,0.1064,10,0.489,47.1243
3,0.1128,10,1.6636,46.6565
3,0.1109,10,1.3239,46.7579
3,0.1034,10,1.3213,47.4533
3,0.1157,10,1.2915,46.4568
3,0.1135,10,1.3741,46.7501
3,0.1389,10,3.2108,47.4351
3,0.1107,10,1.5397,47.3678
3,0.1025,10,0.358,47.1384
3,0.1135,10,0.8567,46.9201
3,0.1163,10,1.3513,46.1544
3,0.1073,10,0.7115,47.3611
4,0.1173,10,0.7458,46.9435
4,0.1127,10,1.3854,46.5966
4,0.1376,10,2.1262,46.7344
4,0.114,10,1.3917,46.7069
4,0.1132,10,1.445,46.7757
4,0.1155,10,1.4236,46.7913
4,0.1172,10,1.3382,46.801
4,0.1437,10,2.2953,46.2894
4,0.1063,10,1.3297,46.9687
4,0.1059,10,0.5484,46.6228
4,0.1087,10,1.4973,46.8677
4,0.1159,10,1.3314,46.218
4,0.1156,10,1.3237,46.2915
4,0.104,10,1.0922,46.3572
4,0.1125,10,1.2788,46.3491
4,0.1103,10,1.5324,46.5093
4,0.1057,10,1.3259,46.8092
4,0.1104,10,2.2082,46.5643
4,0.1108,10,1.305,46.7552
4,0.1281,10,1.8116,46.7374
4,0.1371,10,1.905,46.6798
4,0.0959,10,0.5105,46.6305
4,0.1352,10,2.0205,46.3157
4,0.1085,10,1.5891,46.6358
4,0.0979,10,0.01,46.9301
4,0.1161,10,1.3167,46.4588
4,0.1045,10,1.037,46.3408
4,0.1086,10,1.596,46.6348
4,0.1144,10,1.4086,46.3809
4,0.1082,10,1.4865,46.8695
4,0.1151,10,1.2885,46.4809
4,0.101,10,1.0103,46.9081
4,0.0994,10,0.6757,46.888
4,0.1095,10,1.148,46.8795
4,0.1316,10,1.4004,46.9613
4,0.117,10,1.406,46.1382
4,0.1226,10,1.0703,46.9331
4,0.1171,10,1.3288,46.6154
4,0.1449,10,2.8425,46.9077
4,0.1187,10,1.0338,46.9425
4,0.1145,10,1.3591,46.8417
4,0.1106,10,0.8982,46.8579
4,0.1135,10,1.1469,46.4551
4,0.1173,10,1.4828,46.8956
4,0.1068,10,1.254,46.9322
4,0.1069,10,0.55,46.1011
4,0.1159,10,1.4499,46.5999
4,0.1174,10,1.456,46.391
4,0.1165,10,1.4725,46.5581
4,0.1165,10,1.481,46.5968
4,0.1067,10,1.3981,46.9521
4,0.1075,10,0.7306,46.9356
4,0.1162,10,1.3571,46.1562
4,0.1129,10,1.2899,46.5901
4,0.1308,10,1.4634,46.9605
4,0.0978,10,1.1846,46.7516
4,0.1312,10,1.9024,46.5507
4,0.1142,10,1.3982,46.5066
4,0.109,10,0.6711,46.5713
4,0.1143,10,1.2407,46.7823
4,0.1135,10,1.2387,46.9392
4,0.1429,10,2.2074,46.631
4,0.107,10,1.4069,46.9137
4,0.1163,10,1.2877,46.6702
4,0.1165,10,1.4849,46.5972
4,0.1061,10,1.1525,46.3936
4,0.1129,10,1.1302,46.5254
4,0.1372,10,1.3212,46.7735
4,0.1304,10,1.8479,46.8437
4,0.1119,10,1.7016,46.7389
